,tiku,地域コード,地域,男,女,合計,最頻年齢,平均年齢,標準偏差
0,0.0,302,西平塚,52,53,105,69.5,57.3476,22.510433962688754
115,0.0,303,東平塚,235,235,470,25.5,42.9766,22.666464240746087
230,0.0,304,下平塚,140,152,292,38.5,43.2123,23.629259463572897
345,0.0,305,葛城根崎,23,26,49,38.5,42.7653,22.882820853479778
460,0.0,306,苅間,620,595,1215,47.5,44.9634,23.660147253078673
575,0.0,307,原,18,10,28,24.5,52.5357,23.220191556457312
690,0.0,308,面野井,143,140,283,71.5,51.5247,23.33856109785409
805,0.0,309,高田,42,39,81,54.5,54.2037,22.047336528728078
920,0.0,310,鬼ケ窪,243,222,465,68.5,49.328,25.390550971250228
1035,0.0,311,上河原崎,137,154,291,49.5,50.6271,23.621608688268545
1150,0.0,312,下河原崎,133,124,257,47.5,46.4144,24.46629673649309
1265,0.0,313,中別府,293,287,580,66.5,46.5,23.990299763834145
1380,0.0,314,下別府,61,60,121,68.5,46.6488,23.267279602860448
1495,0.0,315,高須賀,250,265,515,66.5,52.9718,23.130710966226406
1610,0.0,316,高良田,218,219,437,71.5,48.1705,24.347999001475632
1725,0.0,317,鍋沼新田,141,130,271,53.5,46.1494,23.397077546205928
1840,0.0,318,真瀬１,356,345,701,62.5,49.3959,24.2875486319713
1955,0.0,319,真瀬２,381,374,755,70.5,49.8219,24.488050590628998
2070,0.0,320,富士見ケ丘団地,298,292,590,55.5,45.6475,21.57698755255748
2185,0.0,321,島名,718,773,1491,45.5,48.5973,23.859651372163857
2300,0.0,322,水堀,55,51,106,65.5,53.6132,23.691938265331988
2415,0.0,324,大白硲,54,61,115,10.5,46.6652,27.05322625935768
2530,0.0,325,小白硲,498,479,977,42.5,45.2247,24.08937077972101
2645,0.0,326,平,55,48,103,29.5,52.3835,24.085729155436194
2760,0.0,328,柳橋,116,119,235,29.5,45.0149,25.184654046796208
2875,0.0,329,新井,29,31,60,73.5,42.3333,24.629363685582028
2990,0.0,330,山中,337,347,684,14.5,42.4883,23.13398257446169
3105,0.0,331,西大橋,92,99,191,39.5,45.5105,24.709408414138558
3220,0.0,332,西岡,107,86,193,36.5,48.728,23.729910392001806
3335,0.0,333,島,53,41,94,75.5,51.8298,23.597416148618134
3450,0.0,334,西郷,59,39,98,25.5,39.2551,21.033045537473374
3565,0.0,335,春日１丁目,533,456,989,46.5,33.2937,18.77486005821808
3680,0.0,336,春日２丁目,1594,1341,2935,24.5,35.5327,18.608170431366347
3795,0.0,337,春日３丁目,1048,777,1825,22.5,34.9312,16.988273469290434
3910,0.0,338,春日４丁目,1287,761,2048,21.5,29.3896,13.679347253615576
4025,0.0,339,東新井,887,835,1722,51.5,39.2439,20.27282071068857
4140,0.0,340,小野崎,745,775,1520,48.5,41.848,23.256816970061653
4255,0.0,341,二の宮１丁目,1316,1111,2427,30.5,37.6059,20.25360213801094
4370,0.0,342,二の宮２丁目,711,602,1313,29.5,37.5762,20.02318503537697
4485,0.0,343,二の宮３丁目,685,707,1392,35.5,36.0517,20.40643555279706
4600,0.0,344,二の宮４丁目,1197,1260,2457,54.5,41.1268,22.175813180260423
4715,0.0,345,松野木,464,457,921,50.5,36.2785,21.352194117442263
4830,0.0,346,上原,271,257,528,47.5,41.108,22.349235911283007
4945,0.0,347,小野川,673,641,1314,38.5,43.2839,22.67248478180283
5060,0.0,348,西大沼,174,174,348,60.5,45.5661,22.93666190708415
5175,0.0,349,中内,84,74,158,71.5,48.1899,24.05923646914744
5290,0.0,350,松代１丁目,955,779,1734,45.5,36.2584,20.169005561096775
5405,0.0,351,松代２丁目,579,531,1110,46.5,38.6865,20.908173264946583
5520,0.0,352,松代３丁目,1261,1196,2457,11.5,35.0018,21.023469275618073
5635,0.0,353,松代４丁目,791,813,1604,14.5,39.4377,21.938814337990852
5750,0.0,354,松代５丁目,575,604,1179,47.5,37.2642,21.27346181798874
5865,0.0,355,手代木,370,331,701,49.5,48.1847,24.35165947287509
5980,0.0,358,上横場,1123,1056,2179,45.5,46.7139,23.565326593528372
6095,0.0,359,今泉,129,144,273,47.5,46.9359,24.301609724123757
6210,0.0,360,谷田部１,797,858,1655,21.5,46.2039,24.27659004997846
6325,0.0,361,谷田部２,351,358,709,47.5,50.3674,23.503789490605005
6440,0.0,362,谷田部３,1519,1575,3094,72.5,47.7049,24.351021166360116
6555,0.0,363,瑞穂団地,646,650,1296,45.5,44.1983,23.29803938304045
6670,0.0,364,上萱丸,103,101,204,44.5,45.8137,23.526780898684507
6785,0.0,365,下萱丸,28,35,63,45.5,50.9762,21.88197572611064
6900,0.0,366,中野,90,85,175,49.5,45.2543,23.95262398816821
7015,0.0,367,花島新田,40,21,61,31.5,45.5,23.119787848592697
7130,0.0,368,西栗山,36,30,66,58.5,53.9545,21.422999406790204
7245,0.0,369,片田,18,12,30,65.5,51.7333,20.295620764670723
7360,0.0,370,飯田,127,147,274,69.5,48.0803,24.400605291692028
7475,0.0,371,古館,43,42,85,68.5,50.1,22.700194350036117
7590,0.0,372,根崎,30,23,53,26.5,52.1038,24.51440825669364
7705,0.0,373,境松,84,75,159,70.5,50.6132,24.365400030422553
7820,0.0,374,境田,87,95,182,38.5,42.8571,23.57799608810891
7935,0.0,375,緑が丘,609,615,1224,68.5,52.058,22.908811158719747
8050,0.0,376,東丸山,47,33,80,57.5,45.225,24.699177617888417
8165,0.0,377,羽成,186,176,362,45.5,47.489,23.495383101310523
8280,0.0,378,観音台１丁目,1184,994,2178,46.5,40.8108,20.383113929495
8395,0.0,379,観音台２丁目,10,10,20,36.5,28.5,6.164414002968976
8510,0.0,381,榎戸,298,267,565,37.5,44.7124,23.120940716171305
8625,0.0,382,北中妻,45,49,94,70.5,53.8298,24.1570166441633
8740,0.0,383,南中妻,240,249,489,70.5,48.7965,23.365680357940963
8855,0.0,384,館野,195,205,400,67.5,50.785,24.104953329139637
8970,0.0,386,東１丁目,16,9,25,25.5,28.54,11.77617934646038
9085,0.0,387,東２丁目,1091,1090,2181,45.5,41.1433,21.88968710818449
9200,0.0,388,稲荷前,1046,946,1992,17.5,38.0773,21.08716960801398
